일자,개인투자자,외국인투자자,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인,내외국인
20181120,27872,-73198,48679,76057,-1623,-2208,-580,-967,-8368,-7127,-6506,-3125,-229
20181119,9163,-17802,16979,37618,-7194,-9995,23,-466,-1855,-9189,8038,-8399,59
20181116,13906,6277,-20637,-17216,-3225,726,-779,-1607,3406,627,-2569,359,95
20181115,-6532,-20163,27895,28642,-4313,-2356,62,-1407,-2399,1541,8124,-1102,-98
20181114,3631,-23156,17321,14398,-4341,-2243,50,-1225,5541,-5611,10753,2263,-59
20181113,21354,-83101,61982,24088,1438,6301,402,1497,18914,-4412,13754,-198,-37
20181112,-127770,83796,47546,965,-672,17646,248,-294,19623,-731,10760,-3180,-392
20181109,-9255,39801,-30755,-60992,-7192,12185,-40,-257,27981,-1856,-584,320,-112
20181108,-24896,57098,-32046,-67811,-226,-8811,-90,935,26916,4643,12397,-143,-12
20181107,-82217,25878,58584,-63011,-2113,13104,-56,-2360,134870,9175,-31025,-2054,-191
20181106,3801,15298,-19180,-6569,-3596,-6314,-171,565,9012,-7211,-4896,-64,145
20181105,9038,77592,-86708,-106166,652,7873,185,-260,7507,13618,-10116,114,-36
20181102,-102493,145275,-42318,-92681,7378,13485,100,1656,10893,27795,-10946,-417,-46
20181101,24188,62931,-87367,-80694,10299,-560,523,-442,-7700,-6650,-2144,127,122
20181031,70857,33479,-105037,-137544,-3152,44716,-114,-409,12684,-5120,-16098,596,104
20181030,-57699,-56475,113847,5402,16292,25241,1084,2611,46794,42298,-25876,459,-131
20181029,-103811,-74723,180345,141124,10070,13714,147,-1990,22723,7989,-13434,-1459,-352
20181026,11347,-73545,61961,34132,9705,-7340,307,5018,27898,6607,-14366,347,-110
20181025,55235,-271201,215279,190923,9581,-1133,-606,-1786,11039,-3217,10478,600,86
20181024,-24506,-145421,170882,198386,-1449,-9053,-1057,-1912,-13942,-10090,9999,-1068,112
20181023,57943,-56076,-6919,18369,965,-9739,-873,173,-3392,-9580,-2842,4807,245
20181022,17350,-27142,10960,-611,1735,2809,20,261,-9052,-2741,18539,-1133,-35
20181019,30242,-56095,25361,16917,-2626,6132,0,-76,-185,3635,1564,389,103
20181018,-9478,69020,-60113,-39231,-2222,1442,3971,-78,-5008,-765,-18221,655,-84
20181017,-25322,22684,3445,-6122,1659,5028,443,595,1570,7894,-7622,-632,-176
20181016,24773,5292,-30389,-21752,3512,-5674,-72,-986,-1368,-4864,814,271,53
20181015,38116,25089,-63752,-67185,3211,-7103,-204,-725,1989,-4087,10351,395,152
20181012,-39538,60984,-26107,-63515,13822,13581,108,-3017,1434,2605,8875,4737,-76
